subject,predicate,object
reactome:Pathway1704,abstraction:HasComponent,reactome:Pathway1708
reactome:Pathway1704,abstraction:HasComponent,reactome:Pathway1705
reactome:Pathway1704,abstraction:HasComponent,reactome:Pathway1706
reactome:Pathway1704,abstraction:HasComponent,reactome:Pathway1709
reactome:Pathway687,abstraction:HasComponent,reactome:Pathway688
reactome:Pathway687,abstraction:HasComponent,reactome:Pathway691
reactome:Pathway687,abstraction:HasComponent,reactome:Pathway695
reactome:Pathway687,abstraction:HasComponent,reactome:Pathway692
reactome:Pathway2213,abstraction:HasComponent,reactome:Pathway2216
reactome:Pathway2213,abstraction:HasComponent,reactome:Pathway2215
reactome:Pathway2213,abstraction:HasComponent,reactome:Pathway2217
reactome:Pathway2213,abstraction:HasComponent,reactome:Pathway2218
reactome:Pathway2213,abstraction:HasComponent,reactome:Pathway2214
reactome:Pathway2466,abstraction:HasComponent,reactome:Pathway2467
reactome:Pathway2466,abstraction:HasComponent,reactome:Pathway2468
reactome:Pathway1989,abstraction:HasComponent,reactome:Pathway1990
reactome:Pathway1989,abstraction:HasComponent,reactome:Pathway1992
reactome:Pathway1989,abstraction:HasComponent,reactome:Pathway1253
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2536
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2501
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2530
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2532
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2504
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2513
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2500
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2512
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2531
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2529
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2499
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2514
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2511
reactome:Pathway2498,abstraction:HasComponent,reactome:Pathway2507
